Over the past week, I’ve introduced or cosponsored three criminal justice reform bills: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=95C42A54-3365-471F-8D43-6CFEFFD1C3E5 …	
We do less together than in the past, and we are worse off for it, economically and otherwise:http://dailysignal.com/2017/05/23/americas-social-fabric-eroding-government-must-avoid-feeding-problem/ …	
Activists & entertainers clamoring for government control of Internet claim it's under attack. Where's the evidence? https://www.lee.senate.gov/public/index.cfm/speeches?ID=2AF696A1-6F95-47C0-9FD0-28F2F7A0B66F …	
Thank you to Senate colleagues who have joined in support of president's national monument review: https://www.scribd.com/document/348858901/Senator-Sign-Letter-Commending-President-Trump-for-National-Monument-Review … #BearsEars #utpol	#BearsEars #utpol
Umm... I did: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=902D6274-DE82-4CFC-8B9F-418317FD6392 …https://twitter.com/utcd2/status/865582210673291264 …	
2nd Q from tonght - "If an investigation uncovers that President is guilty of Obstruction of Justice, will you support impeachment?"pic.twitter.com/QiSW4TuiPd	
1st Q from tonight: "Will you fully support special prosecutor Robert Mueller and if so why has it taken so long?"pic.twitter.com/PwKZogVvN4	
Today, I'm launching the #SocialCapital Project to examine how we can strengthen our social fabric. Stay tuned:https://www.forbes.com/sites/realspin/2017/05/15/what-we-do-together/#6c1698d96c16 …	#SocialCapital #6c1698d96c16
Welcome Utah Honor Flight​ WWII veterans to Washington DC! My staff enjoyed meeting with the many heroes who visited the WWII Memorial.pic.twitter.com/EhwToMlBwR	
To be tough on crime we have to be smart on crime. That is why criminal justice reform is a conservative issue: https://www.lee.senate.gov/public/index.cfm/speeches?ID=1B271E6A-5CEF-46B7-AB7F-86C47523C20B …	
I am confident the Deputy AG will follow #FBI's established regulations on how and when a special prosector can be appointed.https://twitter.com/amyklobuchar/status/862664675611332608 …	#FBI
The real test now is finding a candidate that can restore trust in the FBI.https://twitter.com/amyklobuchar/status/862664675611332608 …	
Instead of a special prosecutor, @realDonaldTrump should nominate Merrick Garland to replace James Comey.	
Many thanks to Secretary Ryan Zinke for meeting with the people of San Juan County today: https://www.facebook.com/senatormikelee/posts/1491869680844720 … #RescindBearsEars #utpol	#RescindBearsEars #utpol
Hardworking Utahns in Utah's agricultural industry support President Trump's decision to review national monuments:http://freerangereport.com/index.php/2017/05/08/utah-national-monuments-adversely-impact-ranching-multiple-use-economic-development/ …	
In order to be tough on crime we need to be smart on crime:http://www.deseretnews.com/article/865679134/Why-some-conservative-Republicans-are-leading-the-fight-against-over-incarceration.html …	
The Aneth Chapter of the Navajo Nation passed a resolution asking President Trump to rescind #BearsEars NM: …https://stewardsofsanjuansos.files.wordpress.com/2017/03/aneth-chapter-new-2017-resolution.pdf … #utpol	#BearsEars #utpol
Despite what is often conveyed in mainstream media, many Native Americans in Utah oppose the #BearsEars NM. #utpolhttp://www.deseretnews.com/article/865677802/Op-ed-A-realistic-view-of-Bears-Ears-National-Monument.html …	#BearsEars #utpolhttp
I would like to welcome @SecretaryZinke to Utah. There's a lot to talk about. I'm grateful he is here to listen to Utahns. #utpol #BearsEarspic.twitter.com/Wo0MaZX7cL	#utpol #BearsEarspic
Read why @SenTedCruz, @SenRonJohnson, and I reject the idea that the federal government should control the Internet:https://www.washingtonpost.com/opinions/get-government-out-of-the-internets-business/2017/05/04/7e07fcda-3039-11e7-8674-437ddb6e813e_story.html?utm_term=.8fe73173a101 …	
Yes, presidents can reduce/rescind national monuments - “The First Step for Revoking President Obama’s Land Grab”https://medium.com/@SenMikeLee/the-first-step-for-revoking-president-obamas-land-grab-733b9177f164 …	
Congratulations to @realDonaldTrump for a successful first #100Days. #JusticeGorsuch	#100Days #JusticeGorsuch
I don't believe you intended this, but those wondering what it looks like to sell public land to the highest bidder... It looks like this:https://twitter.com/SenBennetCO/status/858036241278935040 …	
Challenge accepted @SenBennetCO. See comments in your article: https://medium.com/@SenBennetCO/why-protecting-our-national-monuments-is-good-for-colorado-the-country-7df04b958e43#---86-240 …pic.twitter.com/oA6oMn9Ajh	#
Some great ideas from @KevinNR on tax reform: Corporate Tax Rate Reduction: Zero Percent Would Be Better Than 15http://www.nationalreview.com/article/447070/corporate-tax-rate-reduction-zero-percent-would-be-better-15 …	
Undoing the #FCC's 2015 Open Internet Order is first step. Now Congress needs to step up & permanently protect an open and dynamic internet.	#FCC
