Staff Sgt. Black, Staff Sgt. Johnson, and Staff Sgt. Wright's sacrifices will not be forgotten.	
100 sit-ups: no problem 17 pull ups: maybe 22:40 three-miler: makes me light headedhttps://twitter.com/sendansullivan/status/881226659231399936 …	
Called on @SenateMajLdr to cancel the August work period if progress isn't made on funding the government & dealing with the debt ceiling.https://twitter.com/foxnews/status/880835711422926849 …	
I secured key provisions in the NDAA to help improve quality of life for #servicemembers and military families. http://bit.ly/2s5KaGY pic.twitter.com/aR5wFgCl1m	#servicemembers
I finally have a reason to use this photo. Thanks, @SenPatRoberts!pic.twitter.com/mhtIaJouHE	
Congratulations to Dr. Akinleye on being selected as the next Chancellor at @NCCU!https://twitter.com/UNC_System/status/879434754571087872 …	
(1 of 2) Congratulations to the Congressional Award Gold Medalist from North Carolina! #EarnedIt #Gold2017pic.twitter.com/Lclm9pmxc2	#EarnedIt #Gold2017pic
Honored to serve North Carolinians in the U.S. Senate with @SenatorBurr! #NationalSelfieDay #ncpolpic.twitter.com/AU3Z3grshy	#NationalSelfieDay #ncpolpic
As a caregiver to a loved one who battled Alzheimer's Disease, I will continue to fight to #ENDALZ. #TheLongestDayhttps://twitter.com/SenThomTillis/status/828748127586942977 …	#ENDALZ #TheLongestDayhttps
Proud to join @BPC_Bipartisan this morning to talk about how we can improve #ruralhealth.pic.twitter.com/PAMijk6lSk – at United States Capitol Building	#ruralhealth
Deeply saddened by the passing of Otto Warmbier. His tragic death is a direct result of the N. Korea regime's brutal disdain for humanity.https://twitter.com/TwitterMoments/status/876905799703961600 …	
Military #caregivers need to be empowered, appreciated and recognized for their service. #HiddenHeroesHearing @DoleFoundationpic.twitter.com/LzjBbFTkPY	#caregivers #HiddenHeroesHearing
New sanctions will hold Russian and Iranian regimes accountable http://bit.ly/2rlbRen pic.twitter.com/LH7vxfnHsz	
I don't think I've ever agreed with @ValerieJarrett, but I do on this one. We should let Robert Mueller do his job.pic.twitter.com/w7OrwPiWRA	
Read my op-ed honoring the #lawenforcement officials who protect us every day via @JournalNow. http://bit.ly/2rvfaE3 pic.twitter.com/0OJZIMcU52	#lawenforcement
Thankful to Capitol Police for putting themselves in harm's way yesterday and undoubtedly preventing further injury and maybe loss of life.https://twitter.com/WRAL/status/875110583426789376 …	
Grateful #ncga passed a resolution commending my dear friend and former Rep Ruth Samuelson for her service to NC. http://buff.ly/2to2RGb pic.twitter.com/6EMZUGFZAF	#ncga
Grateful to Mary & Tom Ward for traveling from Wilmington to advocate on behalf of caregivers. #HiddenHeroesHearing #Marine #Veteranpic.twitter.com/8pI3gLYW39	#HiddenHeroesHearing #Marine #Veteranpic
Today I voted in favor of an amendment to place new sanctions on Russia as punishment for meddling in our election.	
Happy Birthday, @USArmy! Thank you for 242 years of service and sacrifice protecting our great nation. #ArmyBDay #FlagDaypic.twitter.com/xNov2CWj5w	#ArmyBDay #FlagDaypic
This is terrible. Praying for @SteveScalise and all others who were injured.https://twitter.com/FoxNews/status/874958295215288320 …	
Glad the Senate reached a bipartisan agreement to strengthen & expand sanctions in response to oppressive actions of Putin & his cronies.	
I co-sponsored bipartisan legislation giving @deptvetaffairs authority to dismiss bad employees & better serve vets. http://bit.ly/2sYr2KX pic.twitter.com/Vv0mQzP4Js	
Leading the Comey hearing, @SenatorBurr is demonstrating why North Carolinians have repeatedly entrusted him to represent them. #ncpol	#ncpol
Never forget the sacrifice and bravery of the Allied forces who stormed the beaches of Normandy, France 73 years ago. #DDay #DDay73pic.twitter.com/ZdKt7IJo2C	#DDay #DDay73pic
My heart goes out to the people of #London after yet another cowardly, senseless terror attack. America will always stand with the UK.	#London
I hosted a #military roundtable to announce an integrated military-civilian trauma system @camp_lejeune. http://bit.ly/2qBJsVp pic.twitter.com/aiKxVVJdup	#military
Take a moment today to remember and honor the men and women who paid the ultimate sacrifice in defense of our freedoms. #MemorialDaypic.twitter.com/y37h0DSeQA	#MemorialDaypic
Happy years of service fighting for our great nation, @82ndABNDiv @FtBraggNC! #AAW100pic.twitter.com/2psROg51Po	#AAW100pic
News that the BCBS of NC #ACA rates may increase by an average of 22.9% in 2018 is more proof we need reform that works for NC families.	#ACA
95% of counties in North Carolina have only one insurer with an average monthly premium increase of 176% since 2013. #Obamacarepic.twitter.com/F9ugvfEhGo	#Obamacarepic
This evening, @SenatorBurr will join me to host a telephone town hall. Listen live and submit questions at 5:30 pm: http://bit.ly/2rdnebW pic.twitter.com/IWejWAMyrr	
Horrible images out of #Manchester. My thoughts and prayers are with everyone affected.	#Manchester
Today, we honor the men and women of our Armed Forces and thank them for their service to our country. #ArmedForcesDaypic.twitter.com/lnG0xKLwUn	#ArmedForcesDaypic
Congratulations @DrinkCheerwine on 100 great years!https://twitter.com/NCBev/status/865605286622412800 …	
We love our office pups!https://twitter.com/byrdinator/status/865575608633278465 …	
Chris Cornell's cover of Michael Jackson's "Billie Jean" is one of the best of all time. Sad to hear this news. https://www.youtube.com/watch?v=R0uWF-37DAM …https://twitter.com/TIME/status/865202309936156672 …	
Wonderful news this afternoon. Susan and I are going to be the proud grandparents of a baby girl this Fall!pic.twitter.com/V60SUKOl6g	
Great to see the #ncga House pass #RaiseTheAgeNC bill. Much needed reform to state's juvenile justice system. Thank you @ChuckMcGrady #ncpolhttps://twitter.com/ChuckMcGrady/status/864926989039407104 …	#ncga #RaiseTheAgeNC #ncpolhttps
I'm happy to be back to work on Capitol Hill after receiving a clean bill of health. Thank you for all the prayers and well wishes.pic.twitter.com/qBeETOs5Hg	
I'm doing well. Looking forward to getting back to work. Thanks for all of your prayers and well wishes. #CapChallengepic.twitter.com/uQGQp85qzR	#CapChallengepic
Team Tillis is ready for the @ACLINews #CapChallenge in support of @fidelco.pic.twitter.com/K3nat4crji	#CapChallenge
#NationalPoliceWeek A time to reflect on the officers who made the ultimate sacrifice & thank those who continue to protect our communities.pic.twitter.com/aDyC6py4z1	#NationalPoliceWeek
Happy #MothersDay to these three amazing mothers and one soon-to-be! Our family is thankful for their unconditional love and support.pic.twitter.com/OfPiRv1b0y	#MothersDay
Saddened to hear of the passing of my friend Rudy Wright. Mayor Wright was a fierce advocate for the city and people of Hickory.https://twitter.com/Hickoryrecord/status/862767645350916097 …	
My statement on the dismissal of @FBI Director James Comey: http://bit.ly/2q3wkXz pic.twitter.com/4mIjhT4mZP	
Join me this Thursday for a Facebook Q&A. I'll be answering your questions live at 5:15 pm. http://www.facebook.com/SenatorThomTillis/ …pic.twitter.com/k9091vHI2K	
Thank you to all North Carolina teachers! #NationalTeachersDaypic.twitter.com/KXnSFd1Nzs	#NationalTeachersDaypic
Joined a bipartisan group of senators urging @POTUS to prioritize advocacy for democracy & respect for human rights.http://bit.ly/2pUSJpf 	
NC Military Fact: @FtBraggNC is the largest military installation in the U.S. with 65k soldiers & 38 Generals. #MilitaryAppreciationMonthpic.twitter.com/CTnpRsPzP5	#MilitaryAppreciationMonthpic
Sending my thanks to nurses, including my daughter Lindsay, for their dedication to the vital work they do. #NursesWeek #NationalNursesDaypic.twitter.com/1rgk08VPyb	#NursesWeek #NationalNursesDaypic
Now that the House has passed the AHCA, the Senate will get to work to make major changes and improve the legislation.pic.twitter.com/JUzr7OkLBF	
An awesome story about NW Cabarrus High School in Concord, NC. Enjoy watching the @Yankees, Christian! @CabCoSchools @Dream_On_3 @k4colemanhttps://twitter.com/GMA/status/859865165344329728 …	
We should leave the Senate's legislative filibuster intact. 60 votes = #bipartisanship required. That's a good thing.pic.twitter.com/lcMsT4VQal	#bipartisanship
I welcomed Zoe & Madeline, twins from NC, to my office during their visit with @ZEROTOTHREE for #StrollingThunder. #ThinkBabiespic.twitter.com/4U6AfLx10w	#StrollingThunder #ThinkBabiespic
My heart goes out to the family and friends of First Lt. Weston C. Lee. His leadership, commitment, and sacrifice will not be forgotten.https://twitter.com/myfox8/status/858910131462995968 …	
Shocked to hear about the passing of @binker, a great journalist and an even better human being. My prayers are with his family. #ncpol	#ncpol
We need to secure our border. That requires proposing realistic solutions that can win support in both chambers & get to @POTUS' desk. (3/3)	
There’s a lot of campaign-style rhetoric in Congress about border security and immigration but nothing to show for it. (2/3)	
. @SteveKingIA these are thousand ft. cliffs on the US-Mexico border I mentioned. A 30-ft. wall won't do anything to secure this area. (1/3)pic.twitter.com/YcE2KxgCYz	
I believe deep cuts in this area would be shortsighted and dangerous while we face multiple national security challenges around the world.https://twitter.com/politico/status/857670476436578305 …	
Joining @TuckerCarlson live on @FoxNews at 8:30pm to discuss border security.	
Happy 109th Birthday, @USArmyReserve!pic.twitter.com/61zUTTSHWt	
Heartbreaking news, my thoughts and prayers go out to his family.https://twitter.com/ABC11_WTVD/status/855398439143657473 …	
A great day in NC visiting #veteran owned @SoPinesBrewing, a business run by military spouses @Rriveterbags & finishing the day @FtBraggNC!pic.twitter.com/JlaIamiZa0	#veteran
(2/2) The leader of #Chechnya is a Putin loyalist, and no surprise Putin is denying these shameful #HumanRights violations are taking place.	#Chechnya #HumanRights
(1/2) #Chechnya officials are kidnapping and torturing gay men. I condemn this gross violation of #HumanRights.http://www.bbc.com/news/world-europe-39566136 …	#Chechnya #HumanRights
#HappyEaster from my family to yours!pic.twitter.com/OePQ1XwrR2	#HappyEaster
Earlier this week, I visited the @NCNationalGuard Armory in Kinston. #NCNGpic.twitter.com/PxrCU6BCXw	#NCNGpic
Happy #NationalPetDay to Ike & Libby Tillis, and my office mascot, Tilly!pic.twitter.com/RM9GaCkENY	#NationalPetDay
