Read my piece published in the @washingtonpost abt Facebook political ads & how to prevent Russians from buying themhttps://www.washingtonpost.com/opinions/how-to-stop-russian-robots-from-attacking-the-next-election/2017/10/02/f8197782-a78b-11e7-92d1-58c702d2d975_story.html …	
Great fun on @TheDailyShow w/ @Trevornoah talking about voting rights, Rx drug prices & more. Watch/share interview:http://www.cc.com/video-clips/a85ogu/the-daily-show-with-trevor-noah-amy-klobuchar---fighting-for-an-america-that-leaves-no-one-behind---extended-interview …	
Met w MN leaders & advocates about how we should keep building US/Cuba relationship & ensure it helps our businesses, farmers, & state.https://twitter.com/GGGconsul/status/899681337090727936 …	
Catching the #SolarEclipse! Wow!pic.twitter.com/gSnq81RGg2	#SolarEclipse
Telemarketing fraud is a $40B industry & often targets seniors. Spoke today w MN seniors & advocates abt my bills to crack down on scammers.	
Good to be at St. Cloud State University to talk STEM. School got major grant from National Science Foundation to boost STEM education.	
Spoke w MN vets about my bill to expand access to prosthetics for veterans & strengthen workforce.http://minnesota.cbslocal.com/2017/08/18/wounded-warrior-workforce-act/ …	
Introduced bill w @JohnCornyn, @SenDeanHeller, & @SenBennetCO to address the rape kit backlog & help get victims the justice they deserve.	
Here's a heartwarming story! 94-year-old puts in pool for neighborhood kidshttp://www.kare11.com/mobile/article/news/local/land-of-10000-stories/94-year-old-puts-in-pool-for-neighborhood-kids/89-463647743 …	
Thank you Mayor @MikeSigner for your leadership. We stand with you, the people of Charlottesville & the students of UVA against this racismhttps://twitter.com/mikesigner/status/896193227216367618 …	
Introduced bill w @RoyBlunt to prevent foreign influence in elections by helping ensure online credit card donations come from US donors.	
Tons of scams target our seniors. Senate took step to help by passing my bill w @SenatorCollins to crack down on these schemes.	
So glad no one injured & we stand with our MN Muslim community today. Blast rocks Islamic center in Bloomingtonhttp://www.startribune.com/local/south/438715693.html …	
Was in Little Canada, MN recently. My bill w @SenJohnMcCain would lower Rx drug prices by importing safe, cheaper drugs from big Canada!pic.twitter.com/RBfSKM766q	
Senate passed my bill w @JohnCornyn to strengthen oversight on the guardians of American seniors.	
My new bill w 33 senators lets Medicare negotiate Rx drug prices & use bargaining power of seniors to lower costs. http://www.southernminn.com/faribault_daily_news/community/article_0025792a-3541-5fda-8b2a-4400260744e9.html …	
Thanks to @SenKamalaHarris on your leadership on lowering prescription drug costs and thanks for signing on to the bill.https://twitter.com/senkamalaharris/status/892874149680599040 …	
Thoughts and prayers are with the families and staff of Minnehaha Academy and the emergency personnel responding to the explosion & fire.	
10 yrs after I-35W bridge collapse, Congress must take bipartisan action to keep roads/bridges/rails safe.https://www.usatoday.com/story/opinion/2017/07/31/minnesota-bridge-collapse-infrastructure-bipartisan-amy-klobuchar-column/526238001/ …	
Thanks @timkaine for your leadership and work on prescription drugs!https://twitter.com/timkaine/status/892507537534222336 …	
Another example of why we need to pass my bill to help states strengthen their election cybersecurity.http://thehill.com/policy/cybersecurity/344488-hackers-break-into-voting-machines-in-minutes-at-hacking-competition …	
. @OregonGovBrown and I met up in MN to talk about our efforts to make voter registration automatic. Watch and RT.pic.twitter.com/P3CpBUVLDB	
Let's come together on healthcare. One place to start? My 5 bills - 4 of them bipartisan - to lower Rx drug costs. https://www.facebook.com/amyklobuchar/posts/10154478358966191 …	
Thanks to Lisa Murkowski, Susan Collins and John McCain for showing such strong leadership tonight.	
My friend John McCain just voted no and the bill is going down. Time to work across the aisle to improve the ACA. That's leadership.	
