Wrote more about this in @realclearpolicy:http://www.realclearpolicy.com/articles/2017/09/27/reinventing_washingtons_broken_budget_process_110369.html …	
So proud of our @GAChamber. Well deserved!https://twitter.com/GAChamber/status/887499056079151105 …	
John McCain is a true patriot. If anyone can tackle a challenge like this, it's him. He, Cindy, and the McCain family are in my prayers.	
Obamacare is collapsing. It's time to do something now before more people lose coverage.pic.twitter.com/8w7ikshJwF	
Coming from the business world, I've noticed self-interest too often trumps our national interest in Washington.pic.twitter.com/qEfCcQYXuA	
Today marks the 2 year anniversary of the Iran deal. Since then, this rogue regime has only continued its bad behavior.	
It's time to get results for the American people. RT if you agree.pic.twitter.com/XYb9eCBL8t	
Joining @ShannonBream now on @AmericaNewsroom to discuss the delay of Aug. recess & Congress' continued efforts to deliver real results.pic.twitter.com/tHeLB1prcM	
People back home won't tolerate the Washington gridlock. Congress must stay & work through August to get real results for Americans.pic.twitter.com/iSY8T8FXF3	
. @SenThomTillis: Shortening or canceling August recess is "pivotal" to getting things done.	
. @SenMikeLee: "We have an enormous amount of work to do... it doesn't make sense to take the month of August off."	
. @SteveDaines: "If you were getting failing grades, you better go to summer school, don't take a recess."	
We're live now. Tune in here: https://www.youtube.com/watch?v=ClzgVbGCiGk … #gapol #HillStaycation	#gapol #HillStaycation
My heartfelt prayers go out to the families and loved ones of our U.S. Marines lost in this tragic crash.https://twitter.com/usmc/status/884748253807476737 …	
I agree. A group of us are holding a press conference today at 12noon. https://youtu.be/a_Y1SN1cSEc https://twitter.com/realdonaldtrump/status/884363456849342464 …	
Wishing our 43rd President George W. Bush a very happy birthday!pic.twitter.com/107aKvJwkg	
Great news! @Starbucks Augusta plant to nearly double in size & create up to 100 new jobs. Check out pictures here: http://bit.ly/2uOvrRI pic.twitter.com/5cBgV3D8Cc	
The Georgians serving in #Afghanistan are a true testament that America's best & brightest are in uniform. Can't thank them enough.pic.twitter.com/h8i5xHK6zE	#Afghanistan
I can't think of a better way to spend #IndependenceDay than with the women & men fighting every day to defend our freedom.pic.twitter.com/wsFsfdNHkc	#IndependenceDay
Today we celebrate America's 241st birthday & we remember the resolve of our founding mothers & fathers who fought for independence.pic.twitter.com/o3RUHx9hTs	
Failure is not an option. Proud to be joined by 9 Senate colleagues in this effort: http://www.politico.com/story/2017/06/30/letter-senators-recess-240126 … (2/2)	
Glad to see that #KatesLaw passed the House today. I look forward to voting for it in the Senate.	#KatesLaw
Thanks, @freedomcaucus! We have to prioritize national interest over self-interest.https://twitter.com/freedomcaucus/status/880081577182502913 …	
Change is never easy, but Americans are expecting our full & best effort. Failure is not an option.https://twitter.com/DailySignal/status/880063473585139712 …	
If we haven't made progress by the end of July, we should pull the plug on August recess. RT if you agree:http://dailysignal.com/2017/06/27/time-pull-plug-august-recess/ …	
The norms of DC—including recess—must never stand in the way of our efforts to act on the people’s priorities. http://dailysignal.com/2017/06/27/time-pull-plug-august-recess/ …	
The only appropriate response is to pull the plug on August recess. Read my full thoughts here: http://dailysignal.com/2017/06/27/time-pull-plug-august-recess/ … #gapolhttps://twitter.com/sendavidperdue/status/879808302024187904 …	#gapolhttps
SCOTUS reinstated much of @realDonaldTrump's EO. The world is a very dangerous place and the President is right to try to protect Americans.pic.twitter.com/8aSJX2mvQL	
Big win for #veterans today. Congrats to @SenatorIsakson for all his hard work to make sure our #vets get the care they deserve.https://twitter.com/senatorisakson/status/878258111219355648 …	#veterans #vets
Heartbreaking news. Keeping the Warmbier family in our thoughts, along w/the other innocent people unjustly jailed & tortured in North Koreahttps://twitter.com/AP/status/876901711889264641 …	
It is not said enough. Thank you to our @CapitolPolice for their heroism. Praying for all who were injured this morning.pic.twitter.com/g0nXFAiv6t	
Our heartfelt prayers go out to all of the members, staffers, and Capitol Police officers affected this morning.	
My staff and I are safe.	
Having a great time welcoming our new group of interns. Glad to have you as a part of the team.pic.twitter.com/TBKyzcNMB7	
Wishing President @GeorgeHWBush a happy birthday! #41pic.twitter.com/lHIzqS7xlO	#41pic
Sharing a few photos from this morning's breakfast honoring 20 Georgians nominated & appointed to US Service Academies. Congrats to all!pic.twitter.com/g1zKERtd7X	
Praying for all impacted by this tragedy.https://twitter.com/wsbtv/status/872927734984581120 …	
Happy Birthday to a great leader and friend, @VP Mike Pence!https://twitter.com/VP/status/872437125844791296 …	
Christopher Wray is the ideal candidate to be new @FBI Director.pic.twitter.com/XdCifMCLiE	
Today @POTUS chose to make a clean exit from the #ParisAgreement which was a perfect example of Obama-era overreach.pic.twitter.com/THoEtjfmed	#ParisAgreement
Keeping Army Spc. Murphy & his loved ones in my thoughts & prayers. GA is grateful for your service to our nation.http://2wsb.tv/2rghYS3 	
Our nation’s best and brightest have served in uniform. Today we remember all those who made the ultimate sacrifice to protect our freedom.pic.twitter.com/10BvA9pvjO	
Every dollar Washington spends—every dollar we are debating here today—is borrowed money. #debt @BudgetGOPpic.twitter.com/fbhKwVUn6T	#debt
#Budget process is absolutely broken & it has only worked four times in 43 years. This is unacceptable and must be fixed.pic.twitter.com/VYTCrO9LE2	#Budget
Thank you to #OMB Director Mulvaney for addressing #debt in @BudgetGOP hearing today. Big gov't has failed our country.pic.twitter.com/VojSPn2dkH	#OMB #debt
RT if you share the same concern w/ issues our country is facing today. @FoxNewspic.twitter.com/9NQ4acrfyD	
#Obamacare is collapsing under its own weight and doing nothing is not an option. #gapolpic.twitter.com/CK1HQUmSDI	#Obamacare #gapolpic
Together, we will defeat those who commit these acts of terror. My heart is with victims & families of the senseless attack in Manchester.	
The United States and @Israel share an unbreakable bond. @netanyahupic.twitter.com/9DbhrLJlmI	
Congratulations, Dante Blackmon! 1st NFL player from @kennesawstate. @kennesawstfb @11AliveNews	
Team Perdue was at the re-opening of the I-85 bridge this afternoon. Read my statement here: https://www.perdue.senate.gov/news/press-releases/senator-david-perdue-thanks-transportation-leadership-team-for-i-85-repair … #gapolpic.twitter.com/V5sXGNyCSH	#gapolpic
Obey the law or pay for the wall. Check out this article on a bill I just introduced w/ @SenatorStrange.http://www.washingtonexaminer.com/byron-york-senators-tell-sanctuaries-to-obey-the-law-or-pay-for-the-wall/article/2623337 …	
RT if you agree, border-adjustment tax doesn't have a place in tax reform package. #BAT #taxes	#BAT #taxes
5 days ago, Acting FBI Director McCabe said "there has been no effort to impede our investigation." https://youtu.be/ptY3byzStuQ  #FBI #Comey	#FBI #Comey
#Cartersville is home to one of @AnheuserBusch's breweries. Great to see investment and positive economic impact in GA.https://twitter.com/AnheuserBusch/status/864148560245268481 …	#Cartersville
. @SenatorStrange & I want to stop #sanctuarycities from putting politics over safety & security. More via @zpoliticshttps://www.zpolitics.com/home/2017/5/16/senator-perdue-sponsors-bill-redirecting-sanctuary-city-funds-toward-border-wall?utm_content=buffer698cf&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer …	#sanctuarycities
Congratulations on becoming newest NCI-designated comprehensive cancer center, @WinshipAtEmory! Thank you for your outstanding work.https://twitter.com/WinshipAtEmory/status/864104391594389504 …	
Washington is always running to latest distraction. There has been progress, but we've got some heavy lifting yet to come. @SquawkCNBCpic.twitter.com/ATiFIMrLTk	
Today and every day, I have sincere gratitude for our women & men in uniform and their families. Thank you for your tireless service. #USApic.twitter.com/zKfEnSNNo9	#USApic
It's about time we break some eggs in Washington & change the direction of our country. @SquawkCNBC #gapolpic.twitter.com/HYUzG3L0l9	#gapolpic
Grateful for this wonderful wife, mother & grandmother on this special day. Happy #MothersDay to all moms & thanks for all you do.pic.twitter.com/jJARSqCQir	#MothersDay
. @POTUS acted decisively & within his authority. FBI is larger than 1 person. I'm confident a new director will be nominated, confirmed ASAP	
Catching a quick break w/ my hardworking team. Great to have Georgians from Dahlonega to Sylvania on staff. Thank you for everything. #gapolpic.twitter.com/k9OKY3FMX5	#gapolpic
Great to meet w/ @GeorgiaTech President Bud Peterson. Proud to have a strong relationship with my alma mater & Yellow Jacket community.pic.twitter.com/pAxaotlL2d	
Happy #NationalTeachersDay to all of Georgia's excellent educators. Thank you for all you do to shape our students & keep them safe.pic.twitter.com/2xm4wuapXW	#NationalTeachersDay
It is imperative to fix the broken budget process & keep our eyes on the bigger picture. #gapolpic.twitter.com/MTJv3ztdjk	#gapolpic
President Trump is fighting to significantly downsize the scope & scale of the federal gov't. #gapol @POTUSpic.twitter.com/R47OEdcwKF	#gapol
Honored to be w/ students interested in our U.S. Service Academies today. Thank you for your willingness to serve.pic.twitter.com/VdqyWTqaXn	
Bonnie and I are keeping the family and friends of these heroes in our prayers.https://twitter.com/ledgerenquirer/status/858057019298852867 …	
I had a great time at #NRAAM2017 today. Thank you, @NRA. #2A @NRATVpic.twitter.com/oOmx6bAfFH	#NRAAM2017 #2A
Great to speak w/ @FLGovScott at #NRAAM2017 this afternoon.pic.twitter.com/di1ja4iTlX	#NRAAM2017
. @GwinnettChamber brought a guest to our meeting w/ @SenatorIsakson for daughter in 2nd grade. Couldn't say no to #FlatStanley selfie.pic.twitter.com/VY37B45Vhx	#FlatStanley
Tune in & join me on @SquawkCNBC now. We're talking @POTUS' First 100 Days and tax plan.pic.twitter.com/KKwPr9mmKW	
North Korea is a rogue nation that must be reined in. Their threatening behavior will not be tolerated.pic.twitter.com/32uVCsS0kf	
People who are looking at results of @POTUS in First 100 Days are seeing hope. @NewDay @CNNpic.twitter.com/wJ6jFymmC4	
Great to speak at @GaFarmBureau this morning w/ my cousin @SecretarySonny. #GeorgiaGrownpic.twitter.com/30qK2d9T3C	#GeorgiaGrownpic
Proud of our @USDA Secretary being sworn in this morning. Next step is to welcome @SecretarySonny to #Twitter.pic.twitter.com/FWYVF4ft1R	#Twitter
Congratulations to my 1st cousin, Sonny, on being named the next Secretary of Agriculture. @USDA #gapolpic.twitter.com/FAkTca1vfb	#gapolpic
Expressing deep sadness & respect for 6M Jewish people murdered during #Holocaust. #HolocaustRemembranceDaypic.twitter.com/8cyGSwCsYV	#Holocaust #HolocaustRemembranceDaypic
A member of my staff had the honor of meeting Sen. Bob Dole w/ MG Wesley during his visit to the @infantrymuseum today. @FortBenningpic.twitter.com/MWA218OfaL	
Bonnie and I had a great time at the @Braves game at @SunTrustPark last Friday. #GoBraves #ChopOnpic.twitter.com/8FBVqWSPdI	#GoBraves #ChopOnpic
From my family to yours, have a happy and blessed Easter.pic.twitter.com/3MENv93Mb8	
I applaud each hero being honored by the @WhiteHouse today. You make Georgia proud!http://politics.blog.ajc.com/2017/04/12/trump-to-commend-i-85-first-responders-at-white-house-event/ …	
There is a longer-term strategy to re-engage on int'l global scene to support & defend America's interests around the world. @FoxNewspic.twitter.com/2pKJhlYj1q	
Dr. Johnson is passionate abt education & equipping @CAU students w/ tools needed to become leaders of tmrw. Look fwd to cont'd partnership!pic.twitter.com/ej9FNCaVLg	
Saw I-85 damage 1st hand on the ground, I'm confident we will get our interstate up & running again as soon as humanly possible.pic.twitter.com/3an9w9ups3	
After touring I-85 bridge repair, I'm very impressed by how quickly #Georgia got down to business to diagnose & start reconstruction. #gapolpic.twitter.com/uxUv9ORh9l	#Georgia #gapolpic
As this evening's sundown begins, Bonnie and I wish the Jewish community around the world a #HappyPassover.	#HappyPassover
Honored & proud to confirm Judge Gorsuch. I'm certain he will continue to show remarkable leadership, integrity, & evenhandedness on #SCOTUSpic.twitter.com/gN4lMfFnnF	#SCOTUSpic
Assad's inhumanity in Syria will not be tolerated.pic.twitter.com/JbfFbqsgcK	
Judge Gorsuch's rulings will be just & based on the letter of the law.pic.twitter.com/AQ6Sp0kWKS	
. @Delta brought a great group of pilots, flight attendants, & personnel to discuss federal issues impacting the airline industry. Thank you!pic.twitter.com/25mvWExWaE	
College students are thinking abt impact of #nationaldebt on the future via @USAToday. Serious solutions needed.http://college.usatoday.com/2017/03/20/voices-college-students-should-be-very-worried-about-the-national-debt-heres-why/?_cldee=bWVnYW5fd2hpdHRlbW9yZUBwZXJkdWUuc2VuYXRlLmdvdg%3D%3D&recipientid=contact-08ab6b72a076e511ae590050569818e7-1909f750e2fb4328b5d6cbf4848f1e2b&esid=2e3ecb7f-4d19-e711-93fd-0050568d4238 …	#nationaldebt
Be sure to tune in to your local news and radio as storms move through our state today. Stay safe and alert!https://twitter.com/katiewallswsb/status/849610104529981440 …	
Great to speak w/ students visiting from Mountain Education Charter HS in Cleveland, GA this afternoon. Thank you!pic.twitter.com/lTCGexyzWI	
@SenatorIsakson & I urge Senators on both sides of the aisle to confirm Judge Gorsuch w/o delay via @telegraphga: http://www.macon.com/opinion/readers-opinion/article142461784.html …pic.twitter.com/t277NhiSZ1	
My thoughts and prayers are with the firefighters and first responders on the scene at I-85.	
Sending a big thank you to the women & men who work tirelessly to keep us healthy and safe. We appreciate you. #NationalDoctorsDaypic.twitter.com/50pH9kbx9z	#NationalDoctorsDaypic
RT if you agree: Judge Gorsuch must be confirmed as next Justice to the Supreme Court. #SCOTUSpic.twitter.com/uNryS5PtaG	#SCOTUSpic
Met w/ Carson from Jasper today. We discussed his battle w/ overcoming life threatening illnesses. Thank you for sharing your story with me.pic.twitter.com/2tUZmK99Yx	
Great to discuss @AUG_University's innovative programs to boost our country's cybersecurity workforce w/ President Keel today. @AUG_Cyberpic.twitter.com/34Lo258mVq	
. @POTUS prioritizes energy independence over political agendas w/ roll back of #CleanPowerPlan.pic.twitter.com/Ufb6K6y799	#CleanPowerPlan
Georgians from every corner mourn the loss of our dear friend, Jon. Sending heartfelt prayers to Jon's loved ones.http://www.gwinnettdailypost.com/local/jon-richards-a-fixture-in-the-gwinnett-political-community-dies/article_9917c03a-1286-11e7-be90-235ebcd26935.html …	
In case you missed it, here are my opening remarks of support for my cousin, Sonny, to be the next Secretary of @USDA. #gapolpic.twitter.com/kPnWxdkwPV	#gapolpic
My cousin, Sonny, is headed to his confirmation hearing to be the next @USDA Secretary. Join in here: https://www.agriculture.senate.gov/hearings/nomination-of-george-sonny-perdue …pic.twitter.com/GxK633ZRdz	
Sending heartfelt prayers to London and the UK Parliament during this time. America stands with you.	
Good to meet with great leaders from #Albany today. Thanks for coming by! #gapolpic.twitter.com/2XcEVH1Jl3	#Albany #gapolpic
Bonnie & I join Georgians in lifting Jon, his family, and his friends up in prayer during this difficult time https://www.georgiapol.com/2017/03/20/goodbyes-shorter-others/ … #gapolpic.twitter.com/r2OiZ3wcWM	#gapolpic
Today is #NationalAgDay! We appreciate the hard work of individuals from GA & across the nation who work tirelessly to feed the world.pic.twitter.com/N685pVr7mH	#NationalAgDay
Lt. Gen. McMaster, a former @FortBenning Commanding General, is a great addition to @POTUS' cabinet.pic.twitter.com/tJZtnYzY6X	
. @DanCoats is the right person to be the Director of National Intelligence.pic.twitter.com/JIMw1pyieA	
The Honey Shack in Clinch County and GA Olive Farms in Lanier County were just a few of the visits made by Team Perdue last week.pic.twitter.com/mzVTgsY5ak	
. @POTUS' new Executive Order is meant to secure our country & protect all Americans and refugees from our shared enemy.pic.twitter.com/5GAgifv3GL	
Congratulations, Coach! You make GA proud. @GTJoshPastnerhttps://twitter.com/gtmbb/status/838494948915838976 …	
I am proud to stand behind my friend, Attorney General @JeffSessions. http://www.perdue.senate.gov/news/press-releases/senator-david-perdue-stands-behind-attorney-general-jeff-sessions_ …pic.twitter.com/OBUE9FdfwN	
. @GovernorPerry is a long-time advocate of American energy independence - proud to have voted for his confirmation.pic.twitter.com/Wr13bkNhMG	
Proud to confirm Dr. @RealBenCarson as the next @HUDEconDev Secretary. Look forward to working with you!pic.twitter.com/kSjyhrXczV	
. @POTUS' speech tonight clearly reaffirmed his heartfelt commitment to putting America first. #JointSessionpic.twitter.com/2rCVSwMx8V	#JointSessionpic
